runName,step,nu,volume,volume_ratio,displacement
incompressible,162,0.49,0.77651,0.998561,0.161345
incompressible,163,0.49,0.776458,0.998494,0.164226
incompressible,164,0.49,0.776404,0.998424,0.167126
incompressible,165,0.49,0.776348,0.998353,0.170045
incompressible,166,0.49,0.776292,0.99828,0.172983
incompressible,167,0.49,0.776234,0.998206,0.17594
incompressible,168,0.49,0.776175,0.998129,0.178916
incompressible,169,0.49,0.776114,0.998051,0.18191
incompressible,170,0.49,0.776052,0.997972,0.184923
incompressible,171,0.49,0.775988,0.99789,0.187955
incompressible,172,0.49,0.775923,0.997806,0.191005
incompressible,173,0.49,0.775857,0.997721,0.194074
incompressible,174,0.49,0.775789,0.997634,0.19716
incompressible,175,0.49,0.77572,0.997545,0.200265
incompressible,176,0.49,0.775649,0.997454,0.203387
incompressible,177,0.49,0.775577,0.997361,0.206528
incompressible,178,0.49,0.775504,0.997267,0.209686
incompressible,179,0.49,0.775428,0.99717,0.212862
incompressible,180,0.49,0.775352,0.997071,0.216055
incompressible,181,0.49,0.775273,0.996971,0.219266
incompressible,182,0.49,0.775194,0.996868,0.222494
incompressible,183,0.49,0.775112,0.996763,0.22574
incompressible,184,0.49,0.775029,0.996657,0.229002
incompressible,185,0.49,0.774945,0.996548,0.232281
incompressible,186,0.49,0.774859,0.996437,0.235577
incompressible,187,0.49,0.774771,0.996324,0.238889
incompressible,188,0.49,0.774681,0.996209,0.242218
incompressible,189,0.49,0.77459,0.996092,0.245564
incompressible,190,0.49,0.774498,0.995973,0.248925
incompressible,191,0.49,0.774403,0.995851,0.252303
incompressible,192,0.49,0.774307,0.995728,0.255696
incompressible,193,0.49,0.774209,0.995602,0.259106
incompressible,194,0.49,0.77411,0.995474,0.262531
incompressible,195,0.49,0.774008,0.995344,0.265971
incompressible,196,0.49,0.773905,0.995211,0.269427
incompressible,197,0.49,0.7738,0.995076,0.272898
incompressible,198,0.49,0.773694,0.994939,0.276384
incompressible,199,0.49,0.773586,0.9948,0.279884
incompressible,200,0.49,0.773475,0.994658,0.2834
incompressible,201,0.49,0.773363,0.994514,0.28693
incompressible,202,0.49,0.77325,0.994368,0.290475
incompressible,203,0.49,0.773134,0.994219,0.294033
incompressible,204,0.49,0.773016,0.994068,0.297606
incompressible,205,0.49,0.772897,0.993915,0.301193
incompressible,206,0.49,0.772776,0.993759,0.304793
incompressible,207,0.49,0.772653,0.9936,0.308407
incompressible,208,0.49,0.772528,0.99344,0.312034
incompressible,209,0.49,0.772401,0.993276,0.315675
incompressible,210,0.49,0.772272,0.993111,0.319329
incompressible,211,0.49,0.772141,0.992942,0.322995
incompressible,212,0.49,0.772008,0.992772,0.326674
incompressible,213,0.49,0.771873,0.992598,0.330366
incompressible,214,0.49,0.771737,0.992422,0.33407
incompressible,215,0.49,0.771598,0.992244,0.337786
incompressible,216,0.49,0.771457,0.992063,0.341514
incompressible,217,0.49,0.771315,0.99188,0.345254
incompressible,218,0.49,0.77117,0.991693,0.349006
incompressible,219,0.49,0.771023,0.991505,0.352769
incompressible,220,0.49,0.770874,0.991313,0.356543
incompressible,221,0.49,0.770723,0.991119,0.360328
incompressible,222,0.49,0.77057,0.990923,0.364124
incompressible,223,0.49,0.770415,0.990723,0.367931
incompressible,224,0.49,0.770258,0.990521,0.371749
incompressible,225,0.49,0.770099,0.990316,0.375576
incompressible,226,0.49,0.769938,0.990109,0.379414
incompressible,227,0.49,0.769774,0.989899,0.383262
incompressible,228,0.49,0.769609,0.989686,0.38712
incompressible,229,0.49,0.769441,0.98947,0.390987
incompressible,230,0.49,0.769271,0.989252,0.394863
incompressible,231,0.49,0.769099,0.989031,0.398749
incompressible,232,0.49,0.768925,0.988807,0.402644
incompressible,233,0.49,0.768749,0.98858,0.406547
incompressible,234,0.49,0.76857,0.98835,0.410459
incompressible,235,0.49,0.768389,0.988118,0.41438
incompressible,236,0.49,0.768207,0.987883,0.418309
incompressible,237,0.49,0.768022,0.987645,0.422246
incompressible,238,0.49,0.767834,0.987404,0.42619
incompressible,239,0.49,0.767645,0.98716,0.430143
incompressible,240,0.49,0.767453,0.986914,0.434103
incompressible,241,0.49,0.767259,0.986664,0.43807
incompressible,242,0.49,0.767063,0.986412,0.442044
incompressible,243,0.49,0.766864,0.986157,0.446026
incompressible,244,0.49,0.766663,0.985899,0.450014
incompressible,245,0.49,0.76646,0.985638,0.454008
incompressible,246,0.49,0.766255,0.985374,0.458009
incompressible,247,0.49,0.766048,0.985107,0.462017
incompressible,248,0.49,0.765838,0.984837,0.46603
incompressible,249,0.49,0.765626,0.984564,0.470049
incompressible,250,0.49,0.765411,0.984288,0.474073
incompressible,251,0.49,0.765195,0.98401,0.478103
incompressible,252,0.49,0.764976,0.983728,0.482139
incompressible,253,0.49,0.764754,0.983444,0.486179
incompressible,254,0.49,0.764531,0.983156,0.490224
incompressible,255,0.49,0.764305,0.982865,0.494274
incompressible,256,0.49,0.764077,0.982572,0.498329
incompressible,257,0.49,0.763846,0.982275,0.502388
incompressible,258,0.49,0.763613,0.981976,0.506451
incompressible,259,0.49,0.763378,0.981673,0.510518
incompressible,260,0.49,0.76314,0.981368,0.514589
incompressible,261,0.49,0.7629,0.981059,0.518663
incompressible,262,0.49,0.762658,0.980748,0.522741
incompressible,263,0.49,0.762414,0.980433,0.526823
incompressible,264,0.49,0.762167,0.980116,0.530907
incompressible,265,0.49,0.761917,0.979795,0.534994
incompressible,266,0.49,0.761666,0.979472,0.539084
incompressible,267,0.49,0.761412,0.979146,0.543177
incompressible,268,0.49,0.761156,0.978816,0.547272
incompressible,269,0.49,0.760898,0.978484,0.55137
incompressible,270,0.49,0.760637,0.978149,0.55547
incompressible,271,0.49,0.760374,0.977811,0.559571
incompressible,272,0.49,0.760109,0.977469,0.563675
incompressible,273,0.49,0.759841,0.977125,0.56778
incompressible,274,0.49,0.759571,0.976778,0.571886
incompressible,275,0.49,0.759298,0.976427,0.575994
incompressible,276,0.49,0.759023,0.976074,0.580103
incompressible,277,0.49,0.758746,0.975717,0.584213
incompressible,278,0.49,0.758467,0.975358,0.588324
incompressible,279,0.49,0.758185,0.974995,0.592435
incompressible,280,0.49,0.757901,0.97463,0.596547
incompressible,281,0.49,0.757614,0.974261,0.60066
incompressible,282,0.49,0.757325,0.97389,0.604772
incompressible,283,0.49,0.757034,0.973515,0.608885
incompressible,284,0.49,0.75674,0.973138,0.612998
incompressible,285,0.49,0.756445,0.972757,0.61711
incompressible,286,0.49,0.756146,0.972374,0.621223
incompressible,287,0.49,0.755846,0.971987,0.625334
incompressible,288,0.49,0.755543,0.971598,0.629446
incompressible,289,0.49,0.755238,0.971206,0.633556
incompressible,290,0.49,0.75493,0.97081,0.637666
incompressible,291,0.49,0.754621,0.970412,0.641774
incompressible,292,0.49,0.754309,0.970011,0.645881
incompressible,293,0.49,0.753994,0.969607,0.649988
incompressible,294,0.49,0.753678,0.9692,0.654092
incompressible,295,0.49,0.753359,0.968789,0.658195
incompressible,296,0.49,0.753038,0.968376,0.662297
incompressible,297,0.49,0.752714,0.96796,0.666397
incompressible,298,0.49,0.752388,0.967541,0.670495
incompressible,299,0.49,0.75206,0.967119,0.674591
incompressible,300,0.49,0.75173,0.966694,0.678684
incompressible,301,0.49,0.751397,0.966266,0.68277
incompressible,302,0.49,0.751062,0.965835,0.686843
incompressible,303,0.49,0.750725,0.965403,0.6909
incompressible,304,0.49,0.750388,0.964969,0.694937
incompressible,305,0.49,0.75005,0.964534,0.69895
incompressible,306,0.49,0.749712,0.9641,0.702938
incompressible,307,0.49,0.749375,0.963667,0.706898
incompressible,308,0.49,0.749039,0.963235,0.710829
incompressible,309,0.49,0.748704,0.962804,0.714728
incompressible,310,0.49,0.748371,0.962375,0.718594
incompressible,311,0.49,0.748039,0.961948,0.722427
incompressible,312,0.49,0.747709,0.961524,0.726225
incompressible,313,0.49,0.747381,0.961101,0.729989
incompressible,314,0.49,0.747054,0.960682,0.733716
incompressible,315,0.49,0.746731,0.960266,0.737407
incompressible,316,0.49,0.746409,0.959852,0.741063
incompressible,317,0.49,0.746089,0.959441,0.744682
incompressible,318,0.49,0.745772,0.959034,0.748264
incompressible,319,0.49,0.745458,0.958629,0.751811
incompressible,320,0.49,0.745146,0.958227,0.755321
incompressible,321,0.49,0.744836,0.957829,0.758796
incompressible,322,0.49,0.744529,0.957434,0.762236
incompressible,323,0.49,0.744224,0.957042,0.765641
incompressible,324,0.49,0.743921,0.956653,0.769011
incompressible,325,0.49,0.743621,0.956267,0.772348
incompressible,326,0.49,0.743324,0.955885,0.775652
incompressible,327,0.49,0.743028,0.955505,0.778922
incompressible,328,0.49,0.742736,0.955128,0.782161
incompressible,329,0.49,0.742445,0.954755,0.785369
incompressible,330,0.49,0.742157,0.954384,0.788545
incompressible,331,0.49,0.741871,0.954016,0.791692
incompressible,332,0.49,0.741587,0.953651,0.794809
incompressible,333,0.49,0.741305,0.953289,0.797897
incompressible,334,0.49,0.741025,0.952929,0.800958
incompressible,335,0.49,0.740747,0.952572,0.803991
incompressible,336,0.49,0.740472,0.952217,0.806997
incompressible,337,0.49,0.740198,0.951865,0.809977
incompressible,338,0.49,0.739926,0.951515,0.812932
incompressible,339,0.49,0.739656,0.951167,0.815862
incompressible,340,0.49,0.739387,0.950822,0.818768
incompressible,341,0.49,0.73912,0.950479,0.821651
incompressible,342,0.49,0.738855,0.950138,0.824511
incompressible,343,0.49,0.738591,0.949799,0.827349
incompressible,344,0.49,0.738329,0.949462,0.830165
incompressible,345,0.49,0.738069,0.949127,0.832961
incompressible,346,0.49,0.73781,0.948794,0.835735
incompressible,347,0.49,0.737552,0.948462,0.83849
incompressible,348,0.49,0.737295,0.948132,0.841226
incompressible,349,0.49,0.73704,0.947804,0.843943
incompressible,350,0.49,0.736786,0.947477,0.846641
incompressible,351,0.49,0.736533,0.947152,0.849322
incompressible,352,0.49,0.736282,0.946829,0.851985
incompressible,353,0.49,0.736031,0.946507,0.854631
incompressible,354,0.49,0.735782,0.946186,0.857261
incompressible,355,0.49,0.735534,0.945867,0.859875
incompressible,356,0.49,0.735287,0.945549,0.862473
incompressible,357,0.49,0.73504,0.945232,0.865056
incompressible,358,0.49,0.734795,0.944917,0.867624
incompressible,359,0.49,0.734551,0.944603,0.870177
incompressible,360,0.49,0.734307,0.94429,0.872716
incompressible,361,0.49,0.734065,0.943978,0.875241
incompressible,362,0.49,0.733823,0.943667,0.877752
incompressible,363,0.49,0.733582,0.943357,0.88025
incompressible,364,0.49,0.733342,0.943049,0.882735
incompressible,365,0.49,0.733103,0.942741,0.885207
incompressible,366,0.49,0.732864,0.942434,0.887666
incompressible,367,0.49,0.732627,0.942129,0.890113
incompressible,368,0.49,0.73239,0.941824,0.892548
incompressible,369,0.49,0.732154,0.94152,0.89497
incompressible,370,0.49,0.731918,0.941217,0.897381
incompressible,371,0.49,0.731683,0.940915,0.89978
incompressible,372,0.49,0.731449,0.940614,0.902167
incompressible,373,0.49,0.731216,0.940314,0.904543
incompressible,374,0.49,0.730983,0.940015,0.906908
incompressible,375,0.49,0.730751,0.939716,0.909261
incompressible,376,0.49,0.73052,0.939419,0.911604
incompressible,377,0.49,0.730289,0.939122,0.913935
incompressible,378,0.49,0.730059,0.938826,0.916256
incompressible,379,0.49,0.729829,0.938531,0.918566
incompressible,380,0.49,0.729601,0.938237,0.920865
incompressible,381,0.49,0.729373,0.937944,0.923154
incompressible,382,0.49,0.729145,0.937651,0.925432
incompressible,383,0.49,0.728918,0.93736,0.9277
incompressible,384,0.49,0.728692,0.937069,0.929958
incompressible,385,0.49,0.728466,0.936779,0.932206
incompressible,386,0.49,0.728241,0.936489,0.934443
incompressible,387,0.49,0.728017,0.936201,0.93667
incompressible,388,0.49,0.727793,0.935913,0.938887
incompressible,389,0.49,0.72757,0.935626,0.941094
incompressible,390,0.49,0.727347,0.93534,0.943291
incompressible,391,0.49,0.727125,0.935054,0.945479
incompressible,392,0.49,0.726904,0.93477,0.947656
incompressible,393,0.49,0.726683,0.934486,0.949824
incompressible,394,0.49,0.726463,0.934203,0.951982
incompressible,395,0.49,0.726244,0.933921,0.95413
incompressible,396,0.49,0.726025,0.933639,0.956269
incompressible,397,0.49,0.725807,0.933358,0.958398
incompressible,398,0.49,0.725589,0.933079,0.960517
incompressible,399,0.49,0.725372,0.9328,0.962627
incompressible,400,0.49,0.725156,0.932521,0.964727
incompressible,401,0.49,0.72494,0.932244,0.966818
incompressible,402,0.49,0.724725,0.931967,0.9689
incompressible,403,0.49,0.72451,0.931691,0.970972
incompressible,404,0.49,0.724297,0.931417,0.973035
incompressible,405,0.49,0.724083,0.931142,0.975089
incompressible,406,0.49,0.723871,0.930869,0.977133
incompressible,407,0.49,0.723659,0.930596,0.979168
incompressible,408,0.49,0.723448,0.930325,0.981194
incompressible,409,0.49,0.723237,0.930054,0.983211
incompressible,410,0.49,0.723027,0.929784,0.985219
incompressible,411,0.49,0.722818,0.929515,0.987217
incompressible,412,0.49,0.722609,0.929246,0.989207
incompressible,413,0.49,0.722401,0.928979,0.991187
incompressible,414,0.49,0.722194,0.928712,0.993159
incompressible,415,0.49,0.721987,0.928446,0.995122
incompressible,416,0.49,0.721781,0.928181,0.997076
incompressible,417,0.49,0.721576,0.927917,0.999021
incompressible,418,0.49,0.721371,0.927654,1.00096
incompressible,419,0.49,0.721167,0.927392,1.00288
