vertex,x,y,z
352,0.303895,-0.347688,0.155748
353,0.260847,-0.293712,0.244618
354,0.222148,-0.31945,0.323562
355,0.39308,-0.359969,0.242343
356,0.344451,-0.297588,0.2849
357,0.656934,-0.406099,0.0917525
358,0.62961,-0.374384,0.121554
359,0.556712,-0.280643,0.215902
360,0.523521,-0.248763,0.155954
361,0.536506,-0.351161,0.145251
362,0.457613,-0.19645,0.222439
363,0.430667,-0.183665,0.297397
364,0.487976,-0.218865,0.263463
365,-0.216268,1.15784,0.0974225
366,-0.24351,1.03572,0.116497
367,0.155964,0.542865,0.392476
368,0.117601,0.563387,0.390957
369,0.215902,0.564102,0.330055
370,0.240749,0.671849,0.269321
371,0.210814,0.664439,0.181139
372,0.18265,0.701207,0.115966
373,0.190252,0.750101,0.0352414
374,0.143641,0.538249,0.147317
375,0.126764,0.430112,0.167558
376,0.18139,0.452787,0.346197
377,0.165042,0.40379,0.272816
378,0.60159,0.495698,0.239983
379,0.623596,0.433254,0.276032
380,0.615679,0.430531,0.298302
381,0.563813,0.481797,0.411344
382,0.640995,0.573205,0.235958
383,-0.617148,0.784672,0.258661
384,-0.557686,0.624354,0.211066
385,0.111383,0.0713473,0.446979
386,0.106563,0.0137563,0.483348
387,0.680624,0.543295,-0.202871
388,0.757255,0.579019,-0.243568
389,0.809682,0.539142,-0.327001
390,0.680243,0.425337,-0.240902
391,0.377717,-0.210992,0.0532737
392,0.334853,0.7867,-0.171854
393,0.339625,0.890991,-0.130811
394,0.36355,0.766271,-0.0954809
395,0.425545,0.743393,-0.210074
396,0.410897,0.743587,-0.103973
397,0.414212,0.699671,-0.139684
398,0.399023,0.646492,-0.0646657
399,0.473452,0.177855,-0.368938
400,0.506159,0.088706,-0.395022
401,-0.91603,0.0209119,0.912991
402,-0.935369,-0.0916574,0.880729
403,-0.898033,0.121846,0.811139
404,0.0844952,0.613002,0.336835
405,-0.211851,-0.282761,0.483862
406,-0.200198,-0.147674,0.427111
407,-0.0746979,-8.80569e-05,0.361385
408,-0.0597764,0.00735644,0.470582
