Index: 229, X: -0.0404662, Y: -0.324572, Z: -0.243555
Index: 286, X: -0.263221, Y: -0.501963, Z: -0.0697327
Index: 350, X: -0.28422, Y: -0.0134216, Z: 0.157624
Index: 351, X: -0.21819, Y: -0.0751257, Z: 0.230528
Index: 47, X: -0.302108, Y: -0.575589, Z: 0.265268
Index: 352, X: -0.192975, Y: -0.118644, Z: 0.164482
Index: 230, X: -0.0192241, Y: -0.363649, Z: -0.168149
Index: 275, X: -0.11347, Y: -0.358442, Z: -0.248278
Index: 234, X: -0.385346, Y: -0.428851, Z: -0.165295
Index: 170, X: -0.0721569, Y: -0.278948, Z: -0.101463
Index: 42, X: -0.404381, Y: -0.7185, Z: 0.0632419
Index: 215, X: -0.184261, Y: -0.510372, Z: 0.258903
Index: 87, X: -0.337158, Y: -0.601184, Z: 0.00270176
Index: 121, X: -0.411192, Y: -0.531765, Z: 0.0723588
Index: 353, X: -0.444603, Y: -0.369054, Z: 0.172209
Index: 218, X: -0.24646, Y: -0.39622, Z: 0.0235035
Index: 345, X: -0.179966, Y: -0.488106, Z: -0.0598571
Index: 356, X: -0.360728, Y: -0.305995, Z: -0.0665817
Index: 163, X: -0.213063, Y: -0.30708, Z: -0.251463
Index: 280, X: -0.205706, Y: -0.243313, Z: -0.165391
Index: 312, X: -0.117082, Y: -0.305211, Z: -0.191262
Index: 363, X: -0.237966, Y: -0.265102, Z: -0.0344501
Index: 44, X: -0.0927145, Y: -0.243287, Z: -0.240409
Index: 302, X: -0.157964, Y: -0.247366, Z: -0.245034
Index: 32, X: -0.27476, Y: -0.391058, Z: 0.258612
Index: 123, X: -0.2782, Y: -0.500259, Z: 0.139275
Index: 261, X: -0.0398525, Y: -0.329734, Z: 0.119408
Index: 126, X: -0.269453, Y: -0.634709, Z: 0.0842493
Index: 171, X: -0.11294, Y: -0.383898, Z: 0.000887794
Index: 319, X: -0.510582, Y: -0.529252, Z: 0.203873
Index: 354, X: -0.55561, Y: -0.450472, Z: 0.287334
Index: 357, X: -0.366499, Y: -0.30235, Z: 0.0583094
Index: 358, X: -0.366078, Y: -0.298912, Z: -0.262081
Index: 359, X: -0.456244, Y: -0.335658, Z: -0.150259
Index: 247, X: 0.0538506, Y: -0.481518, Z: 0.146456
Index: 360, X: -0.310118, Y: -0.304464, Z: -0.15742
Index: 34, X: -0.224488, Y: -0.562914, Z: -0.00343337
Index: 361, X: -0.42811, Y: -0.190411, Z: -0.159025
Index: 195, X: -0.346423, Y: -0.518251, Z: -0.266552
Index: 324, X: -0.278937, Y: -0.475633, Z: -0.160532
Index: 189, X: -0.228666, Y: -0.272241, Z: 0.07661
Index: 116, X: 0.0229928, Y: -0.432412, Z: 0.0342081
Index: 202, X: -0.0932829, Y: -0.239073, Z: 0.242793
Index: 258, X: -0.193106, Y: -0.264275, Z: 0.246418
Index: 364, X: -0.446051, Y: -0.223284, Z: 0.157882
Index: 293, X: -0.325019, Y: -0.380295, Z: 0.155767
Index: 98, X: -0.462454, Y: -0.612162, Z: 0.143788
Index: 332, X: -0.413295, Y: -0.485651, Z: 0.16628
Index: 365, X: -0.386058, Y: -0.275941, Z: 0.261497
Index: 366, X: -0.29135, Y: -0.205974, Z: 0.24676
Index: 150, X: -0.144893, Y: -0.601318, Z: 0.134941
Index: 260, X: -0.18311, Y: -0.478727, Z: 0.0791703
Index: 246, X: -0.149752, Y: -0.15902, Z: -0.236442
Index: 254, X: -0.12632, Y: -0.197317, Z: -0.183648
Index: 100, X: -0.479517, Y: -0.569838, Z: -0.277113
Index: 367, X: -0.538688, Y: -0.487167, Z: -0.0453868
Index: 255, X: -0.14039, Y: -0.184701, Z: 0.108907
Index: 368, X: -0.476335, Y: -0.32314, Z: -0.0337154
Index: 210, X: -0.419006, Y: -0.412945, Z: 0.271291
Index: 142, X: -0.129153, Y: -0.390192, Z: 0.253322
Index: 281, X: -0.215373, Y: -0.358319, Z: 0.166074
Index: 160, X: -0.211529, Y: -0.469944, Z: -0.257487
Index: 133, X: -0.454056, Y: -0.632917, Z: 0.00577028
Index: 307, X: -0.147908, Y: -0.318067, Z: 0.103533
Index: 120, X: -0.371144, Y: -0.413567, Z: 0.0775908
Index: 369, X: -0.41783, Y: -0.18353, Z: 0.00624648
Index: 250, X: -0.364231, Y: -0.489243, Z: 0.267369
Index: 370, X: -0.470454, Y: -0.422225, Z: 0.0694209
Index: 371, X: -0.322523, Y: -0.138394, Z: -0.109314
Index: 374, X: -0.484838, Y: -0.307493, Z: 0.082609
Index: 253, X: -0.0689265, Y: -0.282737, Z: -0.187538
Index: 200, X: -0.243805, Y: -0.687007, Z: 0.189374
Index: 10, X: 0.00952937, Y: -0.401087, Z: 0.248796
Index: 66, X: -0.480298, Y: -0.566664, Z: 0.276526
Index: 11, X: -0.4087, Y: -0.700045, Z: 0.272887
Index: 372, X: -0.321118, Y: -0.21028, Z: -0.25114
Index: 373, X: -0.226638, Y: -0.176548, Z: -0.242208
Index: 385, X: -0.592404, Y: -0.411591, Z: 0.0314175
Index: 58, X: 0.00179195, Y: -0.399262, Z: -0.0745989
Index: 9, X: -0.407118, Y: -0.699898, Z: -0.268947
Index: 276, X: -0.0695855, Y: -0.536929, Z: 0.0104265
Index: 244, X: -0.0397163, Y: -0.335536, Z: -0.000148184
Index: 375, X: -0.177101, Y: -0.138998, Z: -0.0962826
Index: 376, X: -0.421493, Y: -0.392531, Z: -0.270052
Index: 377, X: -0.533065, Y: -0.49054, Z: -0.17365
Index: 378, X: -0.588036, Y: -0.415826, Z: -0.137998
Index: 379, X: -0.247927, Y: -0.0644484, Z: 0.0828732
Index: 380, X: -0.600722, Y: -0.405167, Z: 0.174364
Index: 381, X: -0.554727, Y: -0.451327, Z: -0.286338
Index: 57, X: -0.270172, Y: -0.604009, Z: -0.263097
Index: 382, X: -0.217517, Y: -0.0796777, Z: -0.234614
Index: 383, X: -0.501395, Y: -0.312392, Z: 0.275096
Index: 384, X: -0.345532, Y: -0.0643631, Z: 0.241359
Index: 342, X: -0.394273, Y: -0.734863, Z: 0.177184
Index: 139, X: -0.0555628, Y: -0.541095, Z: 0.255688
Index: 399, X: -0.0679881, Y: -0.5397, Z: 0.0102276
Index: 128, X: -0.284259, Y: -0.723979, Z: -0.00721084
Index: 96, X: -0.275759, Y: -0.720153, Z: 0.26581
Index: 88, X: -0.342748, Y: -0.829556, Z: 0.137064
Index: 86, X: -0.338329, Y: -0.833314, Z: 0.266461
Index: 394, X: -0.302239, Y: -0.576261, Z: 0.264316
Index: 145, X: -0.165423, Y: -0.64585, Z: -0.0275386
Index: 201, X: 0.00272105, Y: -0.844143, Z: 0.108648
Index: 386, X: -0.394258, Y: -0.734333, Z: 0.177144
Index: 157, X: -0.15597, Y: -0.753279, Z: 0.194345
Index: 29, X: -0.347289, Y: -0.823647, Z: -0.0132053
Index: 95, X: -0.0948054, Y: -0.873891, Z: -0.132331
Index: 400, X: -0.0971854, Y: -0.494237, Z: -0.252341
Index: 159, X: -0.283111, Y: -0.943814, Z: -0.0102902
Index: 272, X: -0.315645, Y: -0.882272, Z: 0.0607983
Index: 108, X: -0.10356, Y: -0.734577, Z: -0.151319
Index: 257, X: -0.0347297, Y: -0.698415, Z: -0.0410568
Index: 392, X: -0.144421, Y: -0.602002, Z: 0.134974
Index: 264, X: -0.144086, Y: -0.769088, Z: -0.00931753
Index: 132, X: 0.1611, Y: -0.801753, Z: -0.256588
Index: 387, X: -0.188883, Y: -0.570088, Z: -0.150246
Index: 283, X: -0.0683723, Y: -0.818635, Z: -0.259051
Index: 92, X: -0.247091, Y: -0.703223, Z: -0.119193
Index: 388, X: -0.244052, Y: -0.686546, Z: 0.18955
Index: 284, X: 0.0631436, Y: -0.498086, Z: -0.0576561
Index: 219, X: -0.256784, Y: -0.813058, Z: 0.265082
Index: 401, X: -0.0740382, Y: -0.45603, Z: -0.142653
Index: 273, X: -0.229354, Y: -0.85733, Z: 0.185063
Index: 325, X: 0.0134035, Y: -0.818998, Z: 0.262585
Index: 389, X: -0.26998, Y: -0.605438, Z: -0.263272
Index: 62, X: -0.168769, Y: -0.856027, Z: -0.261428
Index: 390, X: -0.407373, Y: -0.699037, Z: -0.268365
Index: 97, X: -0.237935, Y: -0.720716, Z: -0.26151
Index: 391, X: -0.391965, Y: -0.734336, Z: -0.187293
Index: 143, X: -0.214107, Y: -0.835948, Z: -0.0513729
Index: 94, X: -0.0929033, Y: -0.86298, Z: 0.148171
Index: 158, X: -0.219011, Y: -0.824836, Z: -0.179403
Index: 52, X: 0.034672, Y: -0.782309, Z: -0.257439
Index: 290, X: -0.189044, Y: -0.907259, Z: 0.0661639
Index: 105, X: 0.0808844, Y: -0.774798, Z: -0.111123
Index: 179, X: 0.05373, Y: -0.674191, Z: -0.142376
Index: 101, X: -0.00394182, Y: -0.611854, Z: -0.255014
Index: 37, X: -0.163321, Y: -0.646158, Z: 0.261086
Index: 393, X: -0.184226, Y: -0.512562, Z: 0.259096
